,Player,Player_url,Duration_2019,Type_2019,Season
0,Claudio Bravo,https://www.transfermarkt.com/claudio-bravo/profil/spieler/40423,528,"Calf Injury , Muscle Injury , Calf Problems , Muscular problems ,",2019
1,Aymeric Laporte,https://www.transfermarkt.com/aymeric-laporte/profil/spieler/176553,14,"Ill ,",2019
2,John Stones,https://www.transfermarkt.com/john-stones/profil/spieler/186590,64,"Hip Injury , Hamstring Injury , Hamstring Injury ,",2019
3,Nicolás Otamendi,https://www.transfermarkt.com/nicolas-otamendi/profil/spieler/54781,32,"Corona virus , Knock , Knock ,",2019
4,Benjamin Mendy,https://www.transfermarkt.com/benjamin-mendy/profil/spieler/157495,351,"Muscle Injury , Knock , Quarantine , Foot Injury , Knee Injury , Hamstring Injury ,",2019
5,Oleksandr Zinchenko,https://www.transfermarkt.com/oleksandr-zinchenko/profil/spieler/203853,108,"Disrupted Calf Muscle , Unknown Injury , Calf Injury , Knee Problems , Corona virus , Unknown Injury , Fitness ,",2019
6,Kyle Walker,https://www.transfermarkt.com/kyle-walker/profil/spieler/95424,17,"Fitness , Groin Injury ,",2019
7,João Cancelo,https://www.transfermarkt.com/joao-cancelo/profil/spieler/182712,57,"Corona virus , Foot Injury , Nose surgery ,",2019
8,Fernandinho,https://www.transfermarkt.com/fernandinho/profil/spieler/26267,110,"Knock , Knock , Knock , Knee Problems , Knee Injury , Knock , Muscle Injury ,",2019
9,Ilkay Gündogan,https://www.transfermarkt.com/ilkay-gundogan/profil/spieler/53622,39,"Hamstring Injury , groin strain ,",2019
10,Kevin De Bruyne,https://www.transfermarkt.com/kevin-de-bruyne/profil/spieler/88755,269,"Muscle partial avulsion , Bruised Foot , Ill , Corona virus , Ankle Injury , Facial Fracture , Fracture of the orbit ,",2019
11,Bernardo Silva,https://www.transfermarkt.com/bernardo-silva/profil/spieler/241641,18,"Muscular problems , Muscular problems ,",2019
12,David Silva,https://www.transfermarkt.com/david-silva/profil/spieler/35518,33,"Calf Problems , Hamstring Injury ,",2019
13,Raheem Sterling,https://www.transfermarkt.com/raheem-sterling/profil/spieler/134425,12,"Hamstring Injury ,",2019
14,Patrick Roberts,https://www.transfermarkt.com/patrick-roberts/profil/spieler/225452,154,"Hamstring Injury , Hamstring Injury , Thigh Problems , Knock ,",2019
15,Gabriel Jesus,https://www.transfermarkt.com/gabriel-jesus/profil/spieler/363205,23,"Knee Injury , Knee Injury , Corona virus ,",2019
16,Sergio Agüero,https://www.transfermarkt.com/sergio-aguero/profil/spieler/26399,34,"Heart Condition , Calf Injury , Corona virus , Knock ,",2019
