,Player,Player_url,Duration_2018,Type_2018,Season,Duration_2019,Type_2019,Duration_2020,Type_2020,Duration_2021,Type_2021,Duration_2022,Type_2022,Duration_2023,Type_2023
0,Ederson,https://www.transfermarkt.com/ederson/profil/spieler/238223,2.0,"Facial Injury ,",2018,,,30.0,"Virus Infection , Ill , Ill ,",16.0,"Virus Infection ,",,,,
1,John Stones,https://www.transfermarkt.com/john-stones/profil/spieler/186590,74.0,"Minor Knock , Tear in the abductor muscle , Hamstring Injury ,",2018,64.0,"Hip Injury , Hamstring Injury , Hamstring Injury ,",67.0,"Hip Injury , Hamstring Injury , Hamstring Injury ,",20.0,"Rest , Knock , Ankle Injury ,",,,90.0,"Hamstring Injury , Hamstring Injury , Hamstring Injury ,"
2,Danilo,https://www.transfermarkt.com/danilo/profil/spieler/145707,8.0,"Hip problems ,",2018,97.0,"Ankle Injury , Muscular problems , Rest ,",37.0,"Ankle Injury , Muscular problems ,",,,81.0,"Muscular problems , Rest , Adductor problems , Tear in the abductor muscle , Muscular problems ,",20.0,"Ankle Injury , Ankle Injury ,"
3,Eliaquim Mangala,https://www.transfermarkt.com/eliaquim-mangala/profil/spieler/90681,262.0,"Knee Injury ,",2018,,,104.0,"Torn Muscle Fibre , Torn Muscle Fibre ,",128.0,"Torn Muscle Fibre , Torn Muscle Fibre , Torn Muscle Fibre , Torn Muscle Fibre ,",,,,
4,Vincent Kompany,https://www.transfermarkt.com/vincent-kompany/profil/spieler/9594,123.0,"groin strain , Calf Strain , Muscle Injury , Calf Injury ,",2018,,,,,,,,,,
5,Philippe Sandler,https://www.transfermarkt.com/philippe-sandler/profil/spieler/340460,248.0,"Knee Surgery , Ankle Injury , Collarbone fracture , Hamstring Injury ,",2018,,,321.0,"Unknown Injury , Unknown Injury ,",211.0,"Ankle Surgery ,",,,,
6,Pablo Marí,https://www.transfermarkt.com/pablo-mari/profil/spieler/210178,28.0,"Ankle Injury ,",2018,,,,,196.0,"Calf Injury , Ankle Injury ,",,,79.0,"Bruise , Surgery , Abdominal muscles injury ,"
7,Benjamin Mendy,https://www.transfermarkt.com/benjamin-mendy/profil/spieler/157495,247.0,"Thigh Problems , Knock , Cruciate Ligament Rupture , Thigh Muscle Strain ,",2018,351.0,"Muscle Injury , Knock , Quarantine , Foot Injury , Knee Injury , Hamstring Injury ,",84.0,"Muscle Injury , Knock , Quarantine , Foot Injury , Knee Injury ,",116.0,"Muscle Injury , Knock , Muscle Injury , Knock ,",,,,
8,Luke Bolton,https://www.transfermarkt.com/luke-bolton/profil/spieler/382553,150.0,"Thigh Problems , Thigh Problems ,",2018,,,,,,,,,,
9,Fernandinho,https://www.transfermarkt.com/fernandinho/profil/spieler/26267,13.0,"Hamstring Injury ,",2018,110.0,"Knock , Knock , Knock , Knee Problems , Knee Injury , Knock , Muscle Injury ,",9.0,"Knock ,",41.0,"Knock , Knock ,",,,,
