,Player,Player_url,Duration,Type,Season
0,Ederson,https://www.transfermarkt.com/ederson/profil/spieler/238223,2.0,"Facial Injury ,",2018
1,John Stones,https://www.transfermarkt.com/john-stones/profil/spieler/186590,74.0,"Minor Knock , Tear in the abductor muscle , Hamstring Injury ,",2018
2,Danilo,https://www.transfermarkt.com/danilo/profil/spieler/145707,8.0,"Hip problems ,",2018
3,Eliaquim Mangala,https://www.transfermarkt.com/eliaquim-mangala/profil/spieler/90681,262.0,"Knee Injury ,",2018
4,Vincent Kompany,https://www.transfermarkt.com/vincent-kompany/profil/spieler/9594,123.0,"groin strain , Calf Strain , Muscle Injury , Calf Injury ,",2018
5,Philippe Sandler,https://www.transfermarkt.com/philippe-sandler/profil/spieler/340460,248.0,"Knee Surgery , Ankle Injury , Collarbone fracture , Hamstring Injury ,",2018
6,Pablo Marí,https://www.transfermarkt.com/pablo-mari/profil/spieler/210178,28.0,"Ankle Injury ,",2018
7,Benjamin Mendy,https://www.transfermarkt.com/benjamin-mendy/profil/spieler/157495,247.0,"Thigh Problems , Knock , Cruciate Ligament Rupture , Thigh Muscle Strain ,",2018
8,Luke Bolton,https://www.transfermarkt.com/luke-bolton/profil/spieler/382553,150.0,"Thigh Problems , Thigh Problems ,",2018
9,Fernandinho,https://www.transfermarkt.com/fernandinho/profil/spieler/26267,13.0,"Hamstring Injury ,",2018
10,Fabian Delph,https://www.transfermarkt.com/fabian-delph/profil/spieler/50362,61.0,"Muscle Injury , Knee Injury , Calf Problems ,",2018
11,David Silva,https://www.transfermarkt.com/david-silva/profil/spieler/35518,11.0,"Unknown Injury ,",2018
12,Raheem Sterling,https://www.transfermarkt.com/raheem-sterling/profil/spieler/134425,35.0,"Hamstring Injury , Back trouble ,",2018
13,Phil Foden,https://www.transfermarkt.com/phil-foden/profil/spieler/406635,50.0,"Foot Injury ,",2018
14,Leroy Sané,https://www.transfermarkt.com/leroy-sane/profil/spieler/192565,21.0,"Torn Ligament , Cold ,",2018
15,Patrick Roberts,https://www.transfermarkt.com/patrick-roberts/profil/spieler/225452,113.0,"Thigh Problems , Knock ,",2018
16,Gabriel Jesus,https://www.transfermarkt.com/gabriel-jesus/profil/spieler/363205,74.0,"Torn Knee Ligament , Fracture of the orbit ,",2018
