,Player,Player_url,Duration_2021,Type_2021,Season
0,Ederson,https://www.transfermarkt.com/ederson/profil/spieler/238223,16,"Virus Infection ,",2021
1,Zack Steffen,https://www.transfermarkt.com/zack-steffen/profil/spieler/221624,60,"Bone Bruise , Bone Bruise ,",2021
2,Scott Carson,https://www.transfermarkt.com/scott-carson/profil/spieler/14555,134,"Virus Infection , Virus Infection ,",2021
3,Cieran Slicker,https://www.transfermarkt.com/cieran-slicker/profil/spieler/621997,14,"Quarantine ,",2021
4,Aymeric Laporte,https://www.transfermarkt.com/aymeric-laporte/profil/spieler/176553,98,"Strain , Knock , Corona virus , Strain , Knock , Corona virus ,",2021
5,John Stones,https://www.transfermarkt.com/john-stones/profil/spieler/186590,20,"Rest , Knock , Ankle Injury ,",2021
6,Nathan Aké,https://www.transfermarkt.com/nathan-ake/profil/spieler/177476,117,"Hamstring Injury , Hamstring Injury , Groin Strain , Groin Injury ,",2021
7,Philippe Sandler,https://www.transfermarkt.com/philippe-sandler/profil/spieler/340460,211,"Ankle Surgery ,",2021
8,Oleksandr Zinchenko,https://www.transfermarkt.com/oleksandr-zinchenko/profil/spieler/203853,55,"Knock , Quarantine , Knock , Muscle Injury ,",2021
9,Benjamin Mendy,https://www.transfermarkt.com/benjamin-mendy/profil/spieler/157495,116,"Muscle Injury , Knock , Muscle Injury , Knock ,",2021
10,João Cancelo,https://www.transfermarkt.com/joao-cancelo/profil/spieler/182712,98,"Corona virus , Foot Injury , Corona virus , Foot Injury ,",2021
11,Kyle Walker,https://www.transfermarkt.com/kyle-walker/profil/spieler/95424,36,"Knock , Corona virus , Knock , Corona virus ,",2021
12,Rodri,https://www.transfermarkt.com/rodri/profil/spieler/357565,1,"Knock ,",2021
13,Fernandinho,https://www.transfermarkt.com/fernandinho/profil/spieler/26267,41,"Knock , Knock ,",2021
14,Ilkay Gündogan,https://www.transfermarkt.com/ilkay-gundogan/profil/spieler/53622,68,"groin strain , Ankle Injury , Corona virus , groin strain , Ankle Injury , Corona virus ,",2021
15,Tommy Doyle,https://www.transfermarkt.com/tommy-doyle/profil/spieler/433183,15,"Virus Infection ,",2021
16,Kevin De Bruyne,https://www.transfermarkt.com/kevin-de-bruyne/profil/spieler/88755,87,"Facial Fracture , Fracture of the orbit , Muscular problems , Hamstring Injury , Muscle Injury , Facial Fracture ,",2021
17,Bernardo Silva,https://www.transfermarkt.com/bernardo-silva/profil/spieler/241641,22,"Muscle Injury ,",2021
18,Cole Palmer,https://www.transfermarkt.com/cole-palmer/profil/spieler/568177,19,"Virus Infection ,",2021
19,Raheem Sterling,https://www.transfermarkt.com/raheem-sterling/profil/spieler/134425,10,"Knock , Calf Strain ,",2021
20,Jack Grealish,https://www.transfermarkt.com/jack-grealish/profil/spieler/203460,160,"Shinbone injury , Calf Injury , Shinbone injury , Calf Injury ,",2021
21,Ferran Torres,https://www.transfermarkt.com/ferran-torres/profil/spieler/398184,11,"Virus Infection ,",2021
22,Riyad Mahrez,https://www.transfermarkt.com/riyad-mahrez/profil/spieler/171424,14,"Corona virus ,",2021
23,Gabriel Jesus,https://www.transfermarkt.com/gabriel-jesus/profil/spieler/363205,73,"Corona virus , Knock , Knock , Corona virus , Knock ,",2021
24,Alisson,https://www.transfermarkt.com/alisson/profil/spieler/105470,47,"Ill , Hip Injury , Shoulder Injury , Ill , Ill ,",2021
25,Loris Karius,https://www.transfermarkt.com/loris-karius/profil/spieler/85864,15,"Foot Injury ,",2021
26,Virgil van Dijk,https://www.transfermarkt.com/virgil-van-dijk/profil/spieler/139208,254,"Cruciate Ligament Rupture ,",2021
27,Ibrahima Konaté,https://www.transfermarkt.com/ibrahima-konate/profil/spieler/357119,155,"Ankle Injury , Torn Muscle Fibre ,",2021
28,Joe Gomez,https://www.transfermarkt.com/joe-gomez/profil/spieler/256178,462,"Patella problems , Patella problems ,",2021
29,Joel Matip,https://www.transfermarkt.com/joel-matip/profil/spieler/82105,264,"Ankle Injury , groin strain , Back trouble , Bruise , Thigh Problems , Ankle Injury ,",2021
30,Rhys Williams,https://www.transfermarkt.com/rhys-williams/profil/spieler/503679,9,"Groin Injury ,",2021
31,Ben Davies,https://www.transfermarkt.com/ben-davies/profil/spieler/257097,33,"Hamstring Injury ,",2021
32,Andrew Robertson,https://www.transfermarkt.com/andrew-robertson/profil/spieler/234803,4,"Hip Injury ,",2021
33,Konstantinos Tsimikas,https://www.transfermarkt.com/konstantinos-tsimikas/profil/spieler/338070,97,"Knee Injury , Thigh Problems , Quarantine , Fever ,",2021
34,Trent Alexander-Arnold,https://www.transfermarkt.com/trent-alexander-arnold/profil/spieler/314353,28,"Calf Injury ,",2021
35,Neco Williams,https://www.transfermarkt.com/neco-williams/profil/spieler/503680,14,"Ankle Injury , Ill , Quarantine , Ill ,",2021
36,Fabinho,https://www.transfermarkt.com/fabinho/profil/spieler/225693,54,"Muscle Injury , Muscular problems , Hamstring Injury ,",2021
37,Naby Keïta,https://www.transfermarkt.com/naby-keita/profil/spieler/302215,120,"Knock , Ankle Injury , Ligament Injury , Hamstring Injury , Corona virus ,",2021
38,Thiago,https://www.transfermarkt.com/thiago/profil/spieler/60444,95,"Knee Injury , Corona virus ,",2021
41,Alex Oxlade-Chamberlain,https://www.transfermarkt.com/alex-oxlade-chamberlain/profil/spieler/143424,226,"Knee Injury , Knee Injury ,",2021
42,Jordan Henderson,https://www.transfermarkt.com/jordan-henderson/profil/spieler/61651,187,"Groin Surgery , Knock , Hip problems , Groin Surgery , Knock ,",2021
43,James Milner,https://www.transfermarkt.com/james-milner/profil/spieler/3333,46,"Hamstring Injury , Calf Injury , Thigh Muscle Strain ,",2021
44,Sadio Mané,https://www.transfermarkt.com/sadio-mane/profil/spieler/200512,42,"Knock , Corona virus , Knock , Corona virus ,",2021
45,Luis Díaz,https://www.transfermarkt.com/luis-diaz/profil/spieler/480692,21,"Corona virus , Muscle Injury ,",2021
46,Diogo Jota,https://www.transfermarkt.com/diogo-jota/profil/spieler/340950,106,"Foot Injury , Bruised Knee , Foot Injury ,",2021
47,Mohamed Salah,https://www.transfermarkt.com/mohamed-salah/profil/spieler/148455,22,"Corona virus , Corona virus ,",2021
48,Roberto Firmino,https://www.transfermarkt.com/roberto-firmino/profil/spieler/131789,27,"Knee Injury ,",2021
49,Edouard Mendy,https://www.transfermarkt.com/edouard-mendy/profil/spieler/442531,3,"Strain ,",2021
50,Kepa Arrizabalaga,https://www.transfermarkt.com/kepa-arrizabalaga/profil/spieler/192279,114,"Shoulder Injury , Shoulder Injury ,",2021
51,Andreas Christensen,https://www.transfermarkt.com/andreas-christensen/profil/spieler/196948,54,"Ligament Injury , Knock , Knee Injury , Unknown Injury ,",2021
52,Kurt Zouma,https://www.transfermarkt.com/kurt-zouma/profil/spieler/157509,9,"Knock , Rest , Knock ,",2021
53,Thiago Silva,https://www.transfermarkt.com/thiago-silva/profil/spieler/29241,42,"Thigh Problems , Knock ,",2021
54,Xavier Mbuyamba,https://www.transfermarkt.com/xavier-mbuyamba/profil/spieler/640432,160,"Torn Meniscus ,",2021
55,Ben Chilwell,https://www.transfermarkt.com/ben-chilwell/profil/spieler/316125,168,"Quarantine , Foot Injury , Quarantine , Foot Injury ,",2021
56,Reece James,https://www.transfermarkt.com/reece-james/profil/spieler/472423,39,"Thigh Muscle Strain , Ankle Injury ,",2021
57,N'Golo Kanté,https://www.transfermarkt.com/ngolo-kante/profil/spieler/225083,35,"Muscle Injury , Hamstring Injury , Rest ,",2021
58,Billy Gilmour,https://www.transfermarkt.com/billy-gilmour/profil/spieler/423744,141,"Corona virus , Knee Injury ,",2021
59,Mateo Kovacic,https://www.transfermarkt.com/mateo-kovacic/profil/spieler/51471,33,"Muscle Injury ,",2021
60,Saúl Ñíguez,https://www.transfermarkt.com/saul-niguez/profil/spieler/148928,36,"Muscle Injury , Muscle Injury ,",2021
61,Ruben Loftus-Cheek,https://www.transfermarkt.com/ruben-loftus-cheek/profil/spieler/202886,44,"Knock ,",2021
62,Ross Barkley,https://www.transfermarkt.com/ross-barkley/profil/spieler/131978,134,"Hamstring Injury , Ill , Hamstring Injury , Ill ,",2021
63,Lewis Baker,https://www.transfermarkt.com/lewis-baker/profil/spieler/198589,14,"Corona virus ,",2021
64,Danny Drinkwater,https://www.transfermarkt.com/danny-drinkwater/profil/spieler/73491,40,"Unknown Injury , Unknown Injury , Unknown Injury ,",2021
65,Mason Mount,https://www.transfermarkt.com/mason-mount/profil/spieler/346483,7,"Quarantine ,",2021
66,Kai Havertz,https://www.transfermarkt.com/kai-havertz/profil/spieler/309400,38,"Knock , Corona virus ,",2021
67,Hakim Ziyech,https://www.transfermarkt.com/hakim-ziyech/profil/spieler/217111,73,"Hip Injury , Knee Injury ,",2021
68,Callum Hudson-Odoi,https://www.transfermarkt.com/callum-hudson-odoi/profil/spieler/392768,18,"Hip Injury ,",2021
69,Kenedy,https://www.transfermarkt.com/kenedy/profil/spieler/281404,50,"Sprained ankle , Hamstring Injury ,",2021
70,Christian Pulisic,https://www.transfermarkt.com/christian-pulisic/profil/spieler/315779,111,"Muscle Injury , Quarantine , Hamstring Injury , Calf Strain ,",2021
71,Romelu Lukaku,https://www.transfermarkt.com/romelu-lukaku/profil/spieler/96341,11,"Contracture , Tear in the abductor muscle ,",2021
72,Tammy Abraham,https://www.transfermarkt.com/tammy-abraham/profil/spieler/331726,43,"Ankle Injury ,",2021
73,Timo Werner,https://www.transfermarkt.com/timo-werner/profil/spieler/170527,7,"Thigh Muscle Strain ,",2021
74,Dean Henderson,https://www.transfermarkt.com/dean-henderson/profil/spieler/258919,29,"Hip Injury ,",2021
75,David de Gea,https://www.transfermarkt.com/david-de-gea/profil/spieler/59377,1,"Knee Injury ,",2021
76,Tom Heaton,https://www.transfermarkt.com/tom-heaton/profil/spieler/34130,32,"Knock ,",2021
77,Raphaël Varane,https://www.transfermarkt.com/raphael-varane/profil/spieler/164770,31,"Leg Injury , Corona virus ,",2021
78,Harry Maguire,https://www.transfermarkt.com/harry-maguire/profil/spieler/177907,35,"Ankle Injury ,",2021
79,Victor Lindelöf,https://www.transfermarkt.com/victor-lindelof/profil/spieler/184573,10,"Back Injury ,",2021
80,Eric Bailly,https://www.transfermarkt.com/eric-bailly/profil/spieler/286384,136,"Corona virus , Knock , Knock , Knock , Muscle Injury , Corona virus , Knock , Knock , Knock ,",2021
81,Teden Mengi,https://www.transfermarkt.com/teden-mengi/profil/spieler/548470,47,"Hamstring Injury ,",2021
82,Luke Shaw,https://www.transfermarkt.com/luke-shaw/profil/spieler/183288,89,"Hamstring Injury , Ankle Injury ,",2021
83,Alex Telles,https://www.transfermarkt.com/alex-telles/profil/spieler/255755,50,"Ill , Corona virus , Ill , Corona virus ,",2021
84,Brandon Williams,https://www.transfermarkt.com/brandon-williams/profil/spieler/507700,22,"Knock ,",2021
85,Scott McTominay,https://www.transfermarkt.com/scott-mctominay/profil/spieler/315969,17,"Knock , Bruise ,",2021
87,Paul Pogba,https://www.transfermarkt.com/paul-pogba/profil/spieler/122153,77,"Hamstring Injury , Ankle Injury , Corona virus ,",2021
88,Donny van de Beek,https://www.transfermarkt.com/donny-van-de-beek/profil/spieler/288255,14,"Muscle Injury ,",2021
89,Jesse Lingard,https://www.transfermarkt.com/jesse-lingard/profil/spieler/141660,90,"Bruise , Bruise ,",2021
90,Andreas Pereira,https://www.transfermarkt.com/andreas-pereira/profil/spieler/203394,12,"Fever , Fever ,",2021
91,Tahith Chong,https://www.transfermarkt.com/tahith-chong/profil/spieler/344830,2,"Quarantine ,",2021
92,Juan Mata,https://www.transfermarkt.com/juan-mata/profil/spieler/44068,37,"Muscle Injury ,",2021
93,Jadon Sancho,https://www.transfermarkt.com/jadon-sancho/profil/spieler/401173,52,"Torn muscle bundle , Infection ,",2021
94,Marcus Rashford,https://www.transfermarkt.com/marcus-rashford/profil/spieler/258923,12,"Shoulder Injury ,",2021
95,Daniel James,https://www.transfermarkt.com/daniel-james/profil/spieler/319301,27,"Unknown Injury , Knock , Knock ,",2021
96,Mason Greenwood,https://www.transfermarkt.com/mason-greenwood/profil/spieler/532826,63,"Unknown Injury , Bruise , Bruise ,",2021
97,Cristiano Ronaldo,https://www.transfermarkt.com/cristiano-ronaldo/profil/spieler/8198,21,"Problems with the hip flexor , Corona virus ,",2021
98,Anthony Martial,https://www.transfermarkt.com/anthony-martial/profil/spieler/182877,135,"Ruptured knee ligament , Hip Injury ,",2021
99,Edinson Cavani,https://www.transfermarkt.com/edinson-cavani/profil/spieler/48280,94,"Knock , Muscle Injury , Knock , Corona virus ,",2021
100,Pierluigi Gollini,https://www.transfermarkt.com/pierluigi-gollini/profil/spieler/244192,7,"Knee Injury ,",2021
101,Hugo Lloris,https://www.transfermarkt.com/hugo-lloris/profil/spieler/17965,22,"Knock , Knock , Knock , Knock ,",2021
102,Cristian Romero,https://www.transfermarkt.com/cristian-romero/profil/spieler/355915,9,"Muscular problems , Corona virus ,",2021
103,Eric Dier,https://www.transfermarkt.com/eric-dier/profil/spieler/175722,24,"Strain , Strain ,",2021
104,Japhet Tanganga,https://www.transfermarkt.com/japhet-tanganga/profil/spieler/346478,104,"Shoulder Injury , Thigh Problems , Thigh Muscle Strain ,",2021
105,Cameron Carter-Vickers,https://www.transfermarkt.com/cameron-carter-vickers/profil/spieler/341049,30,"Distortion of the ankle , Fitness ,",2021
106,Sergio Reguilón,https://www.transfermarkt.com/sergio-reguilon/profil/spieler/282429,42,"Muscle Injury , Sprained ankle ,",2021
107,Ben Davies,https://www.transfermarkt.com/ben-davies/profil/spieler/192765,140,"Shinbone injury , Shinbone injury ,",2021
108,Emerson Royal,https://www.transfermarkt.com/emerson-royal/profil/spieler/476344,27,"Bruised Knee ,",2021
109,Matt Doherty,https://www.transfermarkt.com/matt-doherty/profil/spieler/171679,48,"Muscle Injury , Unknown Injury , Corona virus ,",2021
110,Harry Winks,https://www.transfermarkt.com/harry-winks/profil/spieler/249126,12,"Knock , Knock ,",2021
111,Tanguy Ndombélé,https://www.transfermarkt.com/tanguy-ndombele/profil/spieler/450936,17,"Unknown Injury , Virus Infection , Knock ,",2021
112,Rodrigo Bentancur,https://www.transfermarkt.com/rodrigo-bentancur/profil/spieler/354362,14,"Corona virus ,",2021
113,Ryan Sessegnon,https://www.transfermarkt.com/ryan-sessegnon/profil/spieler/392775,47,"Knock , Quarantine ,",2021
114,Giovani Lo Celso,https://www.transfermarkt.com/giovani-lo-celso/profil/spieler/348795,134,"Hamstring Injury , Knock , Muscle Injury , Thigh Muscle Strain ,",2021
115,Dele Alli,https://www.transfermarkt.com/dele-alli/profil/spieler/207929,36,"tendon irritation , tendon irritation ,",2021
116,Heung-min Son,https://www.transfermarkt.com/heung-min-son/profil/spieler/91845,56,"Hamstring Injury , Hamstring Injury , Hamstring Injury , Hamstring Injury ,",2021
117,Bryan Gil,https://www.transfermarkt.com/bryan-gil/profil/spieler/537382,3,"Influenza ,",2021
118,Steven Bergwijn,https://www.transfermarkt.com/steven-bergwijn/profil/spieler/284165,27,"Unknown Injury , Knock , Knock ,",2021
119,Dejan Kulusevski,https://www.transfermarkt.com/dejan-kulusevski/profil/spieler/431755,7,"Corona virus ,",2021
120,Harry Kane,https://www.transfermarkt.com/harry-kane/profil/spieler/132098,36,"Ankle Injury , Ankle Injury , Unknown Injury , Ankle Injury , Ankle Injury , Unknown Injury ,",2021
121,Gabriel Magalhães,https://www.transfermarkt.com/gabriel-magalhaes/profil/spieler/435338,48,"Corona virus , Ill ,",2021
122,Rob Holding,https://www.transfermarkt.com/rob-holding/profil/spieler/253341,14,"Hamstring Injury ,",2021
123,Pablo Marí,https://www.transfermarkt.com/pablo-mari/profil/spieler/210178,196,"Calf Injury , Ankle Injury ,",2021
124,Sead Kolasinac,https://www.transfermarkt.com/sead-kolasinac/profil/spieler/94005,50,"Knock , Corona virus , Knock , Corona virus ,",2021
125,Kieran Tierney,https://www.transfermarkt.com/kieran-tierney/profil/spieler/300716,115,"Knee Injury , Knee Injury , Virus Infection , Groin Injury , Knee Injury ,",2021
126,Nuno Tavares,https://www.transfermarkt.com/nuno-tavares/profil/spieler/535955,31,"Ankle Injury , Corona virus , Hip Injury ,",2021
127,Takehiro Tomiyasu,https://www.transfermarkt.com/takehiro-tomiyasu/profil/spieler/331560,61,"Knee Problems , Muscular problems , Calf Injury , Knee Problems ,",2021
128,Cédric Soares,https://www.transfermarkt.com/cedric-soares/profil/spieler/112988,62,"Calf Strain , Calf Strain ,",2021
129,Thomas Partey,https://www.transfermarkt.com/thomas-partey/profil/spieler/230784,81,"Hamstring Injury , Hip Injury , Muscle Injury ,",2021
130,Mohamed Elneny,https://www.transfermarkt.com/mohamed-elneny/profil/spieler/160438,24,"Virus Infection , Virus Infection ,",2021
131,Albert Sambi Lokonga,https://www.transfermarkt.com/albert-sambi-lokonga/profil/spieler/381967,15,"Adductor problems ,",2021
132,Salah-Eddine Oulad M'Hand,https://www.transfermarkt.com/salah-eddine-oulad-mhand/profil/spieler/559330,283,"Fatigue fracture ,",2021
133,Martin Ødegaard,https://www.transfermarkt.com/martin-odegaard/profil/spieler/316264,80,"Ankle Injury , Knock , Muscle Injury , Calf Injury , Knee Problems ,",2021
